F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
0.713,0.973,0.974,0.826,0.739,0.275,0.302,0.242,0.066,0.037,0.713,0.973,0.974,0.826,0.739,0.275,0.302,0.242,0.066,0.037,0,C
0.713,0.973,0.974,0.826,0.739,0.275,0.302,0.242,0.066,0.037,0.713,0.973,0.974,0.826,0.739,0.275,0.302,0.242,0.066,0.037,0,C
0.778,1.03,0.86,0.51,0.339,1.793,1.707,1.287,0.426,0.088,0.778,1.03,0.86,0.51,0.339,1.793,1.707,1.287,0.426,0.088,10,C
0.691,0.961,0.98,0.836,0.744,0.224,0.281,0.219,0.082,0.058,0.691,0.961,0.98,0.836,0.744,0.224,0.281,0.219,0.082,0.058,1,C
0.691,0.961,0.98,0.836,0.744,0.224,0.281,0.219,0.082,0.058,0.691,0.961,0.98,0.836,0.744,0.224,0.281,0.219,0.082,0.058,1,C
0.735,0.988,0.963,0.83,0.806,0.27,0.276,0.209,0.069,0.017,0.735,0.988,0.963,0.83,0.806,0.27,0.276,0.209,0.069,0.017,2.236,C
0.707,0.956,0.977,0.888,0.73,0.113,0.168,0.131,0.038,0.06,0.707,0.956,0.977,0.888,0.73,0.113,0.168,0.131,0.038,0.06,1,C
0.707,0.956,0.977,0.888,0.73,0.113,0.168,0.131,0.038,0.06,0.707,0.956,0.977,0.888,0.73,0.113,0.168,0.131,0.038,0.06,1,C
0.759,1.03,0.933,0.653,0.545,0.7,0.645,0.526,0.124,0.055,0.759,1.03,0.933,0.653,0.545,0.7,0.645,0.526,0.124,0.055,5,C
0.703,0.948,0.963,0.825,0.725,0.264,0.313,0.225,0.097,0.072,0.703,0.948,0.963,0.825,0.725,0.264,0.313,0.225,0.097,0.072,1,C
1.601,2.136,0.865,0.793,0.836,1.647,0.249,0.085,0.164,1.433,1.601,2.136,0.865,0.793,0.836,1.647,0.249,0.085,0.164,1.433,27.803,D
1.586,2.132,0.849,0.777,0.843,1.645,0.271,0.085,0.189,1.432,1.586,2.132,0.849,0.777,0.843,1.645,0.271,0.085,0.189,1.432,26.627,D
1.667,2.115,0.838,0.779,0.907,1.525,0.243,0.073,0.181,1.306,1.667,2.115,0.838,0.779,0.907,1.525,0.243,0.073,0.181,1.306,27.659,D
1.377,1.842,0.868,0.919,0.503,1.929,0.213,0.112,0.276,1.864,1.377,1.842,0.868,0.919,0.503,1.929,0.213,0.112,0.276,1.864,27.459,D
1.57,2.078,0.837,0.738,0.852,1.619,0.308,0.118,0.192,1.341,1.57,2.078,0.837,0.738,0.852,1.619,0.308,0.118,0.192,1.341,28.844,D
1.504,1.969,0.809,0.669,0.858,1.543,0.386,0.164,0.225,1.19,1.504,1.969,0.809,0.669,0.858,1.543,0.386,0.164,0.225,1.19,28.601,D
1.62,2.124,0.865,0.757,0.881,1.599,0.276,0.128,0.156,1.342,1.62,2.124,0.865,0.757,0.881,1.599,0.276,0.128,0.156,1.342,27.803,D
1.648,2.153,0.862,0.827,0.827,1.684,0.211,0.062,0.168,1.488,1.648,2.153,0.862,0.827,0.827,1.684,0.211,0.062,0.168,1.488,27.019,D
