0.784,0.988,0.958,0.789,0.025,8.078,8.544,6.801,1.803,0.5,0.784,0.988,0.958,0.789,0.025,8.078,8.544,6.801,1.803,0.5,127.012,C
0.621,0.906,1.044,1.012,0.392,0.322,0.279,0.204,0.148,0.254,0.621,0.906,1.044,1.012,0.392,0.322,0.279,0.204,0.148,0.254,126.657,C
0.732,0.984,0.987,0.845,0.117,1.204,1.351,1.25,0.112,0.158,0.732,0.984,0.987,0.845,0.117,1.204,1.351,1.25,0.112,0.158,125.706,C
0.732,0.988,0.975,0.816,0.091,1.886,2.019,1.754,0.277,0.139,0.732,0.988,0.975,0.816,0.091,1.886,2.019,1.754,0.277,0.139,125.706,C
0.707,0.979,1,0.88,0.173,0.576,0.698,0.698,0,0.198,0.707,0.979,1,0.88,0.173,0.576,0.698,0.698,0,0.198,125.706,C
0.704,0.957,1.016,0.944,0.241,0.056,0.233,0.304,0.08,0.178,0.704,0.957,1.016,0.944,0.241,0.056,0.233,0.304,0.08,0.178,127.632,C
0.715,0.919,1.028,0.938,0.228,0.138,0.361,0.471,0.124,0.377,0.715,0.919,1.028,0.938,0.228,0.138,0.361,0.471,0.124,0.377,123.471,C
0.754,0.978,0.957,0.834,0.081,1.93,2.121,1.557,0.57,0.354,0.754,0.978,0.957,0.834,0.081,1.93,2.121,1.557,0.57,0.354,124.354,C
1.453,1.923,0.827,0.704,0.763,1.679,0.408,0.172,0.236,1.277,1.453,1.923,0.827,0.704,0.763,1.679,0.408,0.172,0.236,1.277,77.492,D
1.455,1.957,0.84,0.701,0.77,1.712,0.405,0.193,0.213,1.315,1.455,1.957,0.84,0.701,0.77,1.712,0.405,0.193,0.213,1.315,67.417,D
1.492,2.002,0.847,0.72,0.79,1.697,0.38,0.182,0.2,1.317,1.492,2.002,0.847,0.72,0.79,1.697,0.38,0.182,0.2,1.317,43.081,D
1.469,1.962,0.844,0.701,0.783,1.687,0.408,0.199,0.208,1.282,1.469,1.962,0.844,0.701,0.783,1.687,0.408,0.199,0.208,1.282,48.754,D
1.472,1.989,0.853,0.71,0.779,1.733,0.39,0.199,0.192,1.351,1.472,1.989,0.853,0.71,0.779,1.733,0.39,0.199,0.192,1.351,62.394,D
1.486,1.952,0.857,0.713,0.787,1.722,0.389,0.199,0.19,1.351,1.486,1.952,0.857,0.713,0.787,1.722,0.389,0.199,0.19,1.351,59.237,D
1.467,1.964,0.842,0.695,0.793,1.694,0.395,0.192,0.203,1.323,1.467,1.964,0.842,0.695,0.793,1.694,0.395,0.192,0.203,1.323,41.437,D
1.523,2.025,0.829,0.711,0.832,1.666,0.357,0.15,0.208,1.327,1.523,2.025,0.829,0.711,0.832,1.666,0.357,0.15,0.208,1.327,68.007,D
1.527,1.93,0.827,0.72,0.819,1.661,0.366,0.143,0.223,1.327,1.527,1.93,0.827,0.72,0.819,1.661,0.366,0.143,0.223,1.327,62.968,D
1.486,1.973,0.839,0.704,0.804,1.66,0.382,0.181,0.203,1.288,1.486,1.973,0.839,0.704,0.804,1.66,0.382,0.181,0.203,1.288,69.921,D
1.481,1.976,0.838,0.701,0.794,1.725,0.392,0.182,0.21,1.357,1.481,1.976,0.838,0.701,0.794,1.725,0.392,0.182,0.21,1.357,29.547,D
1.541,2.097,0.859,0.741,0.815,1.775,0.339,0.166,0.176,1.444,1.541,2.097,0.859,0.741,0.815,1.775,0.339,0.166,0.176,1.444,69.57,D
1.513,2.059,0.852,0.721,0.809,1.745,0.362,0.172,0.19,1.391,1.513,2.059,0.852,0.721,0.809,1.745,0.362,0.172,0.19,1.391,70.576,D
1.508,2.01,0.825,0.689,0.837,1.641,0.385,0.174,0.212,1.263,1.508,2.01,0.825,0.689,0.837,1.641,0.385,0.174,0.212,1.263,37.696,D
1.456,1.965,0.819,0.69,0.79,1.683,0.402,0.172,0.231,1.294,1.456,1.965,0.819,0.69,0.79,1.683,0.402,0.172,0.231,1.294,67.417,D
