F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
1.385,1.06,0.89,0.848,0.597,1.088,0.724,0.355,0.37,0.386,1.385,1.06,0.89,0.848,0.597,1.088,0.724,0.355,0.37,0.386,151.476,G
1.389,1.065,0.898,0.839,0.616,1.052,0.7,0.334,0.366,0.373,1.389,1.065,0.898,0.839,0.616,1.052,0.7,0.334,0.366,0.373,153.17,G
1.389,1.057,0.89,0.827,0.627,1.033,0.711,0.348,0.363,0.346,1.389,1.057,0.89,0.827,0.627,1.033,0.711,0.348,0.363,0.346,152.463,G
1.374,1.059,0.892,0.847,0.587,1.075,0.72,0.362,0.36,0.375,1.374,1.059,0.892,0.847,0.587,1.075,0.72,0.362,0.36,0.375,153.496,G
1.374,1.055,0.903,0.848,0.591,1.045,0.716,0.358,0.358,0.347,1.374,1.055,0.903,0.848,0.591,1.045,0.716,0.358,0.358,0.347,154.35,G
0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,30.887,H
0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,30.887,H
0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,30.887,H
0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,30.887,H
0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,30.887,H
0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,30.887,H
0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,30.887,H
0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,30.887,H
0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,30.887,H
0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,30.887,H
0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,30.887,H
0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,0.771,1.001,0.904,0.661,0.452,1.006,0.97,0.669,0.316,0.066,30.887,H
