F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
0.833,1.402,0.991,0.922,0.155,3.158,0.781,0.474,0.453,2.6,0.833,1.402,0.991,0.922,0.155,3.158,0.781,0.474,0.453,2.6,121.754,3
1.155,1.83,0.947,0.928,0.261,3.477,0.589,0.178,0.411,3.208,1.155,1.83,0.947,0.928,0.261,3.477,0.589,0.178,0.411,3.208,118.849,3
1.384,2.141,0.983,0.987,0.44,2.645,0.453,0.16,0.294,2.617,1.384,2.141,0.983,0.987,0.44,2.645,0.453,0.16,0.294,2.617,117.047,3
1.198,1.939,1.042,1.089,0.226,3.819,0.869,0.275,0.614,4.187,1.198,1.939,1.042,1.089,0.226,3.819,0.869,0.275,0.614,4.187,116.482,3
1.011,1.621,1.114,1.161,0.189,2.463,0.962,0.255,0.781,3.306,1.011,1.621,1.114,1.161,0.189,2.463,0.962,0.255,0.781,3.306,118.406,3
0.69,1.124,0.983,0.918,0.274,0.834,0.353,0.239,0.182,0.483,0.69,1.124,0.983,0.918,0.274,0.834,0.353,0.239,0.182,0.483,120.071,3
0.665,1.037,0.947,0.857,0.221,0.902,0.689,0.409,0.311,0.231,0.665,1.037,0.947,0.857,0.221,0.902,0.689,0.409,0.311,0.231,118.962,3
0.654,1.043,0.964,0.891,0.261,0.65,0.468,0.289,0.202,0.181,0.654,1.043,0.964,0.891,0.261,0.65,0.468,0.289,0.202,0.181,116.387,3
1.05,1.727,0.996,0.986,0.132,5.614,0.823,0.236,0.596,5.524,1.05,1.727,0.996,0.986,0.132,5.614,0.823,0.236,0.596,5.524,117.175,3
1.107,1.733,1.044,1.053,0.119,5.74,1.11,0.262,0.852,6.221,1.107,1.733,1.044,1.053,0.119,5.74,1.11,0.262,0.852,6.221,114.843,3
0.981,1.616,1.165,1.203,0.261,1.598,0.939,0.161,0.779,2.393,0.981,1.616,1.165,1.203,0.261,1.598,0.939,0.161,0.779,2.393,116.211,3
0.748,1.261,1.06,1.022,0.288,0.835,0.197,0.132,0.293,0.91,0.748,1.261,1.06,1.022,0.288,0.835,0.197,0.132,0.293,0.91,118.14,3
0.672,1.05,0.983,0.909,0.274,0.625,0.398,0.277,0.173,0.228,0.672,1.05,0.983,0.909,0.274,0.625,0.398,0.277,0.173,0.228,114.285,3
0.862,1.301,0.853,0.808,0.128,3.883,1.521,0.382,1.149,2.363,0.862,1.301,0.853,0.808,0.128,3.883,1.521,0.382,1.149,2.363,113.6,3
1.266,2.003,1.019,1.044,0.28,3.431,0.601,0.185,0.421,3.623,1.266,2.003,1.019,1.044,0.28,3.431,0.601,0.185,0.421,3.623,113.759,3
1.309,1.988,0.881,0.785,0.61,2.029,0.528,0.239,0.29,1.624,1.309,1.988,0.881,0.785,0.61,2.029,0.528,0.239,0.29,1.624,113.053,3
0.791,1.247,0.907,0.873,0.142,2.662,1.03,0.292,0.738,1.768,0.791,1.247,0.907,0.873,0.142,2.662,1.03,0.292,0.738,1.768,114.018,3
1.208,1.963,1.044,1.141,0.293,2.877,1.036,0.502,0.546,3.353,1.208,1.963,1.044,1.141,0.293,2.877,1.036,0.502,0.546,3.353,112.792,3
1.319,2.092,1.015,1.052,0.316,3.294,0.54,0.164,0.395,3.518,1.319,2.092,1.015,1.052,0.316,3.294,0.54,0.164,0.395,3.518,110.164,3
1.392,2.186,0.924,0.84,0.583,2.318,0.398,0.165,0.253,2.047,1.392,2.186,0.924,0.84,0.583,2.318,0.398,0.165,0.253,2.047,111.683,3
0.699,1.098,1.022,0.957,0.312,0.547,0.239,0.214,0.16,0.331,0.699,1.098,1.022,0.957,0.312,0.547,0.239,0.214,0.16,0.331,109.202,3
1.355,2.121,0.993,1.011,0.4,2.797,0.59,0.219,0.372,2.85,1.355,2.121,0.993,1.011,0.4,2.797,0.59,0.219,0.372,2.85,112.361,3
1.203,1.819,0.968,0.903,0.398,2.342,0.538,0.259,0.298,2.071,1.203,1.819,0.968,0.903,0.398,2.342,0.538,0.259,0.298,2.071,108.522,3
1.225,1.888,0.95,1.028,0.312,2.78,0.604,0.399,0.313,2.881,1.225,1.888,0.95,1.028,0.312,2.78,0.604,0.399,0.313,2.881,107.564,3
1.411,2.121,0.928,0.866,0.571,2.201,0.403,0.184,0.22,2.006,1.411,2.121,0.928,0.866,0.571,2.201,0.403,0.184,0.22,2.006,105.948,3
0.633,1,0.977,0.93,0.347,0.349,0.252,0.144,0.126,0.14,0.633,1,0.977,0.93,0.347,0.349,0.252,0.144,0.126,0.14,107.968,3
0.894,1.425,1.165,1.138,0.292,0.993,0.532,0.094,0.625,1.46,0.894,1.425,1.165,1.138,0.292,0.993,0.532,0.094,0.625,1.46,107.28,3
