0.805,1.107,0.443,0.41,0.91,1.106,0.893,0.142,0.753,0.294,0.805,1.107,0.443,0.41,0.91,1.106,0.893,0.142,0.753,0.294,2.236,
0.805,1.107,0.443,0.41,0.91,1.106,0.893,0.142,0.753,0.294,0.805,1.107,0.443,0.41,0.91,1.106,0.893,0.142,0.753,0.294,2.236,
0.791,1.09,0.36,0.354,0.88,1.111,0.944,0.148,0.814,0.237,0.791,1.09,0.36,0.354,0.88,1.111,0.944,0.148,0.814,0.237,2.828,
0.791,1.09,0.36,0.354,0.88,1.111,0.944,0.148,0.814,0.237,0.791,1.09,0.36,0.354,0.88,1.111,0.944,0.148,0.814,0.237,2.828,
0.791,1.09,0.36,0.354,0.88,1.111,0.944,0.148,0.814,0.237,0.791,1.09,0.36,0.354,0.88,1.111,0.944,0.148,0.814,0.237,2.828,
0.791,1.09,0.36,0.354,0.88,1.111,0.944,0.148,0.814,0.237,0.791,1.09,0.36,0.354,0.88,1.111,0.944,0.148,0.814,0.237,2.828,
0.791,1.09,0.36,0.354,0.88,1.111,0.944,0.148,0.814,0.237,0.791,1.09,0.36,0.354,0.88,1.111,0.944,0.148,0.814,0.237,2.828,
0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,2,
0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,2,
0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,2,
0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,2,
0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,2,
0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,2,
0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,2,
0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,2,
0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,2,
0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,0.741,1.049,0.405,0.387,0.872,1.133,0.947,0.161,0.796,0.359,2,
1.617,2.035,0.882,0.801,1.789,0.955,0.29,0.13,0.162,0.667,1.617,2.035,0.882,0.801,1.789,0.955,0.29,0.13,0.162,0.667,1.414,
1.617,2.035,0.882,0.801,1.789,0.955,0.29,0.13,0.162,0.667,1.617,2.035,0.882,0.801,1.789,0.955,0.29,0.13,0.162,0.667,1.414,
1.617,2.035,0.882,0.801,1.789,0.955,0.29,0.13,0.162,0.667,1.617,2.035,0.882,0.801,1.789,0.955,0.29,0.13,0.162,0.667,1.414,
1.617,2.035,0.882,0.801,1.789,0.955,0.29,0.13,0.162,0.667,1.617,2.035,0.882,0.801,1.789,0.955,0.29,0.13,0.162,0.667,1.414,
1.617,2.035,0.882,0.801,1.789,0.955,0.29,0.13,0.162,0.667,1.617,2.035,0.882,0.801,1.789,0.955,0.29,0.13,0.162,0.667,1.414,
0.715,1.023,0.795,0.516,0.825,1.057,0.861,0.536,0.328,0.344,0.715,1.023,0.795,0.516,0.825,1.057,0.861,0.536,0.328,0.344,1,
0.715,1.023,0.795,0.516,0.825,1.057,0.861,0.536,0.328,0.344,0.715,1.023,0.795,0.516,0.825,1.057,0.861,0.536,0.328,0.344,1,
0.715,1.023,0.795,0.516,0.825,1.057,0.861,0.536,0.328,0.344,0.715,1.023,0.795,0.516,0.825,1.057,0.861,0.536,0.328,0.344,1,
0.715,1.023,0.795,0.516,0.825,1.057,0.861,0.536,0.328,0.344,0.715,1.023,0.795,0.516,0.825,1.057,0.861,0.536,0.328,0.344,1,
0.715,1.023,0.795,0.516,0.825,1.057,0.861,0.536,0.328,0.344,0.715,1.023,0.795,0.516,0.825,1.057,0.861,0.536,0.328,0.344,1,
1.414,1.924,0.856,0.715,1.565,1.113,0.349,0.159,0.196,0.773,1.414,1.924,0.856,0.715,1.565,1.113,0.349,0.159,0.196,0.773,1.414,
1.414,1.924,0.856,0.715,1.565,1.113,0.349,0.159,0.196,0.773,1.414,1.924,0.856,0.715,1.565,1.113,0.349,0.159,0.196,0.773,1.414,
1.414,1.924,0.856,0.715,1.565,1.113,0.349,0.159,0.196,0.773,1.414,1.924,0.856,0.715,1.565,1.113,0.349,0.159,0.196,0.773,1.414,
1.414,1.924,0.856,0.715,1.565,1.113,0.349,0.159,0.196,0.773,1.414,1.924,0.856,0.715,1.565,1.113,0.349,0.159,0.196,0.773,1.414,
0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,1.414,
0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,1.414,
0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,1.414,
0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,1.414,
0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,1.414,
0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,1.414,
0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,1.414,
0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,0.732,1.022,0.407,0.378,0.841,1.143,0.997,0.141,0.857,0.33,1.414,
1.057,1.425,0.6,0.539,1.17,1.116,0.631,0.138,0.493,0.509,1.057,1.425,0.6,0.539,1.17,1.116,0.631,0.138,0.493,0.509,1,
1.057,1.425,0.6,0.539,1.17,1.116,0.631,0.138,0.493,0.509,1.057,1.425,0.6,0.539,1.17,1.116,0.631,0.138,0.493,0.509,1,
0.802,1.095,0.472,0.422,0.888,1.137,0.933,0.17,0.763,0.287,0.802,1.095,0.472,0.422,0.888,1.137,0.933,0.17,0.763,0.287,1.414,
0.802,1.095,0.472,0.422,0.888,1.137,0.933,0.17,0.763,0.287,0.802,1.095,0.472,0.422,0.888,1.137,0.933,0.17,0.763,0.287,1.414,
0.802,1.095,0.472,0.422,0.888,1.137,0.933,0.17,0.763,0.287,0.802,1.095,0.472,0.422,0.888,1.137,0.933,0.17,0.763,0.287,1.414,
0.802,1.095,0.472,0.422,0.888,1.137,0.933,0.17,0.763,0.287,0.802,1.095,0.472,0.422,0.888,1.137,0.933,0.17,0.763,0.287,1.414,
0.802,1.095,0.472,0.422,0.888,1.137,0.933,0.17,0.763,0.287,0.802,1.095,0.472,0.422,0.888,1.137,0.933,0.17,0.763,0.287,1.414,
0.881,1.105,0.494,0.437,0.951,0.986,0.819,0.15,0.669,0.197,0.881,1.105,0.494,0.437,0.951,0.986,0.819,0.15,0.669,0.197,13.342,
0.881,1.105,0.494,0.437,0.951,0.986,0.819,0.15,0.669,0.197,0.881,1.105,0.494,0.437,0.951,0.986,0.819,0.15,0.669,0.197,13.342,
0.929,1.083,0.534,0.482,1.034,0.871,0.724,0.148,0.577,0.185,0.929,1.083,0.534,0.482,1.034,0.871,0.724,0.148,0.577,0.185,3.162,
,,,,,,,,,,,,,,,,,,,,,
